,date,title,source,link
1,8/7/2020,"Woman in TFSA overcontribution fight with CRA has penalties cut from $17,000 to just $300",National_Post,https://financialpost.com
2,8/7/2020,Thousands of British Airways staff to lose jobs as airline pushes ahead with cuts,Globe,na
3,8/7/2020,"Meeting emission reduction targets crucial to earn support of banks and investors, CNRL president says ",Globe,na
4,8/7/2020,"Posthaste: ‘Supercharged’ Canadian housing market roars back to life, after lockdown halted 70,000 transactions",National_Post,https://financialpost.com
5,8/7/2020,"Canadian economy adds 419,000 jobs in July; more than half of pandemic losses now recouped",Globe,na
6,8/7/2020,A reality check for people looking to cure their pandemic blues by buying a cottage,Globe,na
7,8/7/2020,Home Capital sees sharp drop in mortgage deferrals as economy reopens ,Globe,na
8,8/7/2020,Sun Life net income falls as COVID-19 weighs down second-quarter earnings,Globe,na
9,8/7/2020,Saskatchewan has right model for orphan well remediation: CNRL,National_Post,https://financialpost.com
10,8/7/2020,Canada to retaliate with $3.6-billion in measures against U.S. over aluminum tariffs,Globe,na
11,8/7/2020,"Delta wants at least 3,000 flight attendants to take unpaid leave",Globe,na
12,8/7/2020,COVID-19 pandemic caused 'significant' spike in Alberta business closures: Statistics Canada,Calgary_Herald,na
13,8/7/2020,"Couple wants to spend $10,000 a year on travel and $100,000 on weddings. Can they afford it?",National_Post,https://financialpost.com
14,8/7/2020,Opinion: It's time to end annual tax filing,National_Post,https://financialpost.com
15,8/7/2020,Enerplus restarting North Dakota production despite threat to pipeline,Globe,na
16,8/7/2020,Young professionals want a new energy future for Canada,Globe,na
17,8/7/2020,Economic meltdown threatens Europe’s war on plastic,Globe,na
18,8/7/2020,Canada Energy Regulator names Indigenous advisory committee,Globe,na
19,8/7/2020,Second-wave shutdown a mistake: renowned Harvard economist,Globe,na
20,8/7/2020,China oil imports surge 25% in July from a year ago on buying binge,Globe,na
21,8/7/2020,Manulife records U.S. profits on falling long-term care costs during COVID-19 pandemic,Globe,na
22,8/7/2020,Canadians are increasingly seeking stances on social issues from their employers,Globe,na
23,8/7/2020,"Brookfield Property Partners takes a US$1.5-billion loss owing to mall, hotel closings",Globe,na
24,8/7/2020,"Lightspeed’s revenue, customer base grow, but loss doubles in second quarter",Globe,na
25,8/7/2020,Facebook launches TikTok rival inside Instagram,Globe,na
26,8/7/2020,Trump slaps tariffs on Canadian raw aluminum,Calgary_Herald,na
27,8/7/2020,"Trump unveils bans on owners of WeChat and TikTok, stoking tension with Beijing",Globe,na
28,8/7/2020,"Slowing U.S. job growth, rising COVID-19 raise doubts on the recovery’s strength",Globe,na
29,8/7/2020,U.K. says it’s confident of Brexit trade deal as EU changing tone,Globe,na
30,8/7/2020,Five good reasons why tech stocks are crushing the market this year,National_Post,https://financialpost.com
31,8/7/2020,Farmers and food groups call on government to regulate grocer fees,Globe,na
32,8/7/2020,Canadian dollar falls as trade spat with U.S. raises ‘downside risk’ for currency,Globe,na
33,8/7/2020,Michael Smart: Defund the police? Over the last decade Toronto did,National_Post,https://financialpost.com
34,8/7/2020,"Indigo reports declining revenue, wider first quarter losses",Globe,na
35,8/7/2020,"Canada beats expectations with gain of 419,000 jobs",National_Post,https://financialpost.com
36,8/7/2020,Canada’s Ivey PMI rises to two-year high as purchasing activity accelerates,Globe,na
37,8/7/2020,Alberta government postpones announcement on changes to Temporary Foreign Worker Program,Edmonton_Journal,na
38,8/7/2020,Canada to slap U.S. with $3.6 billion in tariffs in retaliation for aluminum duty,National_Post,https://financialpost.com/news/economy/newsalert-canada-to-impose-3-6-billion-in-retaliatory-tariffs-against-u-s/wcm/75c7c95d-a558-44e8-8bb1-7a345ff2fad7/
39,8/7/2020,Domtar launches strategic review of personal care business after nine years,Globe,na
